代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额,时间戳,code_clean
sh600028,中国石化,5.61,0.02,0.358,5.61,5.62,5.59,5.58,5.65,5.53,227662290.0,1275247257.0,15:06:01,600028
sh600103,青山纸业,3.94,-0.11,-2.716,3.94,3.95,4.05,4.03,4.15,3.9,400122749.0,1588161556.0,15:05:55,600103
sh600172,黄河旋风,16.93,0.43,2.606,16.93,16.94,16.5,16.2,17.24,16.03,250564981.0,4197422824.0,15:05:55,600172
sh600601,方正科技,14.62,0.14,0.967,14.62,14.63,14.48,14.68,15.05,14.14,246663093.0,3618449522.0,15:05:59,600601
sh601212,白银有色,7.09,-0.02,-0.281,7.09,7.1,7.11,6.99,7.14,6.74,431801744.0,3000128698.0,15:06:03,601212
sh601933,永辉超市,3.31,-0.05,-1.488,3.3,3.31,3.36,3.36,3.39,3.24,253553447.0,837297020.0,15:05:53,601933
sz000592,平潭发展,8.06,0.16,2.025,8.06,8.07,7.9,7.74,8.6,7.64,506880497.0,4065503141.0,15:06:00,000592
sz000735,罗 牛 山,7.02,0.21,3.084,7.02,7.03,6.81,6.76,7.23,6.6,224102904.0,1552489312.0,15:05:45,000735
sz002081,金 螳 螂,5.18,-0.38,-6.835,5.18,5.19,5.56,5.5,5.53,5.16,351125049.0,1860306663.0,15:06:00,002081
sz002124,天邦食品,2.52,0.0,0.0,2.51,2.52,2.52,2.5,2.55,2.47,165264606.0,415157917.0,15:05:30,002124
sz002385,大北农,3.6,-0.01,-0.277,3.6,3.61,3.61,3.52,3.68,3.5,218432505.0,787246492.0,15:06:00,002385
sz002607,中公教育,2.08,-0.05,-2.347,2.07,2.08,2.13,2.11,2.13,2.06,140103520.0,290570124.0,15:05:30,002607
sz300189,神农种业,7.78,0.1,1.302,7.77,7.78,7.68,7.49,7.88,7.49,302194146.0,2312996222.0,15:06:00,300189
