c,m,n,p,zdp,amount,ltsz,tshare,hs,lbc,fbt,lbt,fund,zbc,hybk,zttj
002059,0,云南旅游,5780,10.095237731933594,144705028,5724472961.88,5851873236.4800005,2.527831554412842,2,92500,92500,185568217,0,旅游及景,"{'days': 2, 'ct': 2}"
002909,0,集泰股份,8010,10.027472496032715,368352048,3047223337.83,3123900000.0,12.09166145324707,4,92500,100154,85855265,1,化学制品,"{'days': 4, 'ct': 4}"
605398,1,新炬网络,24240,9.981851577758789,44250629,3944245026.9599996,3944245026.9599996,1.121903657913208,1,92502,92502,85283107,0,IT服务Ⅱ,"{'days': 1, 'ct': 1}"
601086,1,国芳集团,12210,10.0,712550784,8131860000.000001,8131860000.000001,8.77181625366211,5,93037,94210,106777707,2,一般零售,"{'days': 5, 'ct': 5}"
002300,0,太阳电缆,8390,9.960680961608887,486964768,6060028285.900001,6060379709.440001,8.290498733520508,2,93203,93203,120358929,0,电网设备,"{'days': 2, 'ct': 2}"
300830,0,金现代,10090,19.97621726989746,339677200,3399671849.48,4557055187.68,10.164310455322266,1,93206,93206,102662309,0,软件开发,"{'days': 1, 'ct': 1}"
605577,1,龙版传媒,14140,10.038910865783691,675954656,6284444452.3,6284444494.72,11.122936248779297,4,93208,141259,41257720,2,出版,"{'days': 4, 'ct': 4}"
603138,1,海量数据,14500,10.015174865722656,137890507,4180971325.0,4257355208.0,3.353175163269043,1,93226,93256,57999492,1,IT服务Ⅱ,"{'days': 1, 'ct': 1}"
603728,1,鸣志电器,53350,10.0,461910496,22347381375.0,22347381161.600002,2.0765914916992188,1,93256,93420,40216403,1,电机Ⅱ,"{'days': 1, 'ct': 1}"
603270,1,金帝股份,34950,10.009443283081055,308765136,2471547511.65,7657778011.650001,12.772638320922852,2,93351,93351,76655939,0,通用设备,"{'days': 4, 'ct': 3}"
002980,0,华盛昌,106660,10.004125595092773,1558886128,10803252114.539999,20095941151.84,14.672252655029297,1,93418,135442,54289940,2,电网设备,"{'days': 1, 'ct': 1}"
603162,1,海通发展,13310,10.0,1022411152,5622625475.940001,18301005521.920002,18.357364654541016,1,93424,133006,39255329,5,航运港口,"{'days': 1, 'ct': 1}"
600703,1,三安光电,13890,9.97624683380127,3458214352,69297470118.03,69297468687.36,5.031612396240234,1,93512,100512,197594736,2,光学光电,"{'days': 1, 'ct': 1}"
605088,1,冠盛股份,21840,10.025189399719238,189428800,4394074623.12,4427536997.5199995,4.390988349914551,1,93858,94549,55788096,1,汽车零部,"{'days': 1, 'ct': 1}"
600108,1,亚盛集团,3960,10.0,731129552,7709783879.16,7709783875.2,9.668806076049805,1,94055,101319,92598660,1,种植业,"{'days': 1, 'ct': 1}"
600611,1,大众交通,5150,10.04273509979248,960893904,8051079274.6,12175232749.6,12.037693977355957,1,94207,132404,38580426,4,铁路公路,"{'days': 1, 'ct': 1}"
605068,1,明新旭腾,23500,10.018726348876953,286402240,3811664632.5,3811664632.5,7.664033889770508,1,94400,110906,9501050,4,汽车零部,"{'days': 3, 'ct': 2}"
605580,1,恒盛能源,20430,10.016155242919922,159683685,5720400000.0,5720400000.0,2.869128465652466,1,94430,94451,71125002,1,电力,"{'days': 1, 'ct': 1}"
600185,1,珠免集团,5280,10.0,289260752,9952830597.6,9952830581.76,2.977829933166504,1,94440,150000,75581088,1,旅游零售,"{'days': 1, 'ct': 1}"
600969,1,郴电国际,10700,9.969167709350586,201792173,3959540178.7999997,3959540135.9999995,5.222325325012207,1,94546,94546,59386712,0,电力,"{'days': 1, 'ct': 1}"
002708,0,光洋股份,15580,10.028247833251953,1444211184,7940040868.58,8757486341.44,18.50470542907715,2,95012,145524,6035318,20,汽车零部,"{'days': 2, 'ct': 2}"
600610,1,中毅达,9490,9.965237617492676,689142080,6725816430.45,10166396029.92,10.656686782836914,1,100003,100003,113061031,0,化学原料,"{'days': 1, 'ct': 1}"
