code,name,limit_date,prev_date,prev_close,prev_pct,prev_amount,prev_turnover,ma20,volume_ratio,passed,total,failed
002041,登海种业,20260901,2026-08-31,10.8,-3.57,1007047424520.0,10.3,9.629000000000001,1.02,4,6,"涨幅1-5%,量比>=1.2"
603376,大明电子,20260901,2026-08-31,25.89,0.47,32524589000.0,3.98,26.371499999999997,0.62,2,6,"涨幅1-5%,价格3-25元,股价>MA20,量比>=1.2"
002721,金一文化,20260901,2026-08-31,2.89,-5.56,472402229160.0,6.2,2.8139999999999996,0.78,3,6,"涨幅1-5%,价格3-25元,量比>=1.2"
000998,隆平高科,20260901,2026-08-31,9.06,-2.05,631436573650.0,5.21,8.589,1.08,4,6,"涨幅1-5%,量比>=1.2"
002015,协鑫能科,20260901,2026-08-31,15.84,-1.06,1300420825570.0,5.11,15.5715,0.57,4,6,"涨幅1-5%,量比>=1.2"
601566,九牧王,20260901,2026-08-31,8.56,1.9,67764370000.0,1.38,8.467500000000003,1.78,5,6,换手率2-15%
000596,古井贡酒,20260901,2026-08-31,91.71,-2.33,504311881930.0,1.33,93.62800000000001,1.63,2,6,"涨幅1-5%,价格3-25元,换手率2-15%,股价>MA20"
603207,小方制药,20260901,2026-08-31,23.09,-0.69,27271064000.0,2.16,23.482999999999997,0.41,3,6,"涨幅1-5%,股价>MA20,量比>=1.2"
300927,江天化学,20260901,2026-08-31,29.1,-7.44,680297087000.0,15.83,25.0565,0.93,2,6,"涨幅1-5%,价格3-25元,换手率2-15%,量比>=1.2"
001330,博纳影业,20260901,2026-08-31,5.61,10.0,702824654230.0,11.11,5.1049999999999995,2.2,5,6,涨幅1-5%
600967,内蒙一机,20260901,2026-08-31,11.08,-0.18,122162015000.0,0.65,11.328000000000001,0.7,2,6,"涨幅1-5%,换手率2-15%,股价>MA20,量比>=1.2"
002291,遥望科技,20260901,2026-08-31,5.46,5.0,317253539530.0,6.77,5.428999999999999,3.56,6,6,
300792,壹网壹创,20260901,2026-08-31,23.75,2.02,134154415000.0,2.67,24.311500000000002,1.55,5,6,股价>MA20
920592,华信永道,20260901,2026-08-31,21.93,-1.22,93178800290.0,8.36,21.0065,1.48,5,6,涨幅1-5%
300399,天利科技,20260901,2026-08-31,19.03,-0.21,95900451000.0,2.56,17.975,0.44,4,6,"涨幅1-5%,量比>=1.2"
000965,天保基建,20260831,2026-08-28,3.29,2.49,67920620080.0,1.87,3.1845,1.44,5,6,换手率2-15%
002133,广宇集团,20260831,2026-08-28,2.82,1.44,32885964000.0,1.52,2.6965,0.97,3,6,"价格3-25元,换手率2-15%,量比>=1.2"
000011,深物业A,20260831,2026-08-28,9.15,9.98,107880200600.0,2.3,8.196,1.96,5,6,涨幅1-5%
000560,我爱我家,20260831,2026-08-28,2.64,10.0,642316327800.0,10.62,2.2794999999999996,1.12,3,6,"涨幅1-5%,价格3-25元,量比>=1.2"
002375,亚厦股份,20260831,2026-08-28,3.7,0.54,38572367380.0,0.79,3.6079999999999997,0.9,3,6,"涨幅1-5%,换手率2-15%,量比>=1.2"
