code,name,industry,lianban,prev_close,prev_pct,amplitude,turnover,volume_ratio,ma20,above_ma20,ma_bullish,vol_ok,is_finance,passed,total,failed
000635,英 力 特,化学原料,1,6.58,1.86,2.94,1.34,1.13,6.4,True,False,True,False,5,7,"振幅>3%,换手率>2%"
000892,欢瑞世纪,影视院线,2,3.91,3.17,7.65,9.3,2.16,3.95,False,False,False,False,7,7,
002084,海鸥住工,家居用品,7,5.8,10.06,0.0,1.04,0.51,3.8,True,True,True,False,3,7,"涨幅-5%到10%,振幅>3%,换手率>2%,量比>=0.8"
002679,福建金森,林业Ⅱ,3,10.67,10.0,10.62,5.52,3.2,9.18,True,True,True,False,6,7,涨幅-5%到10%
003005,竞业达,IT服务Ⅱ,3,15.03,10.03,10.18,4.54,2.77,13.8,True,False,True,False,6,7,涨幅-5%到10%
603721,中广天择,影视院线,2,17.36,-0.63,2.18,1.99,0.77,18.0,False,False,False,False,4,7,"振幅>3%,换手率>2%,量比>=0.8"
600892,大晟文化,游戏Ⅱ,2,4.02,0.75,2.76,4.57,0.89,3.91,True,False,False,False,6,7,振幅>3%
300413,芒果超媒,数字媒体,2,14.15,-0.21,1.06,0.94,0.67,15.36,False,False,False,False,4,7,"振幅>3%,换手率>2%,量比>=0.8"
600540,新赛股份,种植业,4,5.05,10.02,0.0,0.89,0.17,4.08,True,True,False,False,3,7,"涨幅-5%到10%,振幅>3%,换手率>2%,量比>=0.8"
002855,捷荣技术,消费电子,6,14.64,9.99,0.0,2.08,1.83,10.54,True,True,True,False,6,7,振幅>3%
002295,精艺股份,工业金属,1,9.85,-3.43,3.82,8.89,2.31,9.01,True,True,True,False,7,7,
603980,吉华集团,化学制品,1,7.1,4.11,5.57,6.61,1.89,6.85,True,False,True,False,7,7,
603533,掌阅科技,数字媒体,2,20.54,-0.82,3.38,4.3,1.65,21.83,False,False,True,False,7,7,
605577,龙版传媒,出版,2,9.65,0.84,2.4,1.04,0.68,9.82,False,False,False,False,4,7,"振幅>3%,换手率>2%,量比>=0.8"
600551,时代出版,出版,3,7.5,9.97,4.84,2.73,4.69,6.96,True,False,True,False,7,7,
603221,爱丽家居,家居用品,1,29.1,1.57,7.26,7.54,0.99,22.97,True,False,False,False,7,7,
002425,凯撒文化,游戏Ⅱ,1,3.18,0.32,2.21,2.91,0.93,3.24,False,False,False,False,6,7,振幅>3%
000505,京粮控股,农产品加,1,7.34,1.8,6.93,14.42,1.14,6.35,True,True,True,False,7,7,
601086,国芳集团,一般零售,3,8.34,10.03,8.18,2.7,2.55,7.85,True,False,True,False,6,7,涨幅-5%到10%
600371,万向德农,种植业,6,11.54,10.01,0.0,1.68,0.14,8.0,True,True,False,False,3,7,"涨幅-5%到10%,振幅>3%,换手率>2%,量比>=0.8"
002696,百洋股份,饲料,1,6.39,0.63,4.09,4.76,1.07,5.99,True,True,False,False,7,7,
000560,我爱我家,房地产服,3,2.64,10.0,6.25,10.62,1.12,2.28,True,True,False,False,6,7,涨幅-5%到10%
002181,粤 传 媒,出版,1,8.42,0.0,1.78,1.6,1.03,8.82,False,False,False,False,5,7,"振幅>3%,换手率>2%"
000019,深粮控股,农产品加,1,7.32,2.09,6.28,8.53,1.16,6.46,True,True,True,False,7,7,
002104,恒宝股份,通信设备,1,11.66,-1.35,3.21,10.01,0.61,10.79,True,True,True,False,6,7,量比>=0.8
600693,东百集团,一般零售,1,9.56,2.25,3.64,6.13,1.02,9.49,True,False,False,False,7,7,
605365,立达信,照明设备,1,14.51,1.75,6.66,1.92,1.27,13.96,True,True,True,False,6,7,换手率>2%
600313,农发种业,种植业,1,7.5,3.73,7.88,16.53,1.31,6.31,True,True,True,False,7,7,
002172,澳洋健康,医疗服务,1,4.5,-4.66,8.05,23.87,0.88,4.03,True,True,False,False,7,7,
600828,茂业商业,一般零售,1,4.09,1.74,3.73,0.79,1.08,3.97,True,True,False,False,6,7,换手率>2%
605188,国光连锁,一般零售,1,13.37,10.04,10.53,2.32,2.77,12.7,True,False,True,False,6,7,涨幅-5%到10%
600127,金健米业,农产品加,1,11.77,9.18,10.11,45.07,1.14,7.41,True,True,True,False,7,7,
000711,京蓝科技,环境治理,1,6.25,0.32,2.89,3.56,0.67,5.81,True,True,False,False,5,7,"振幅>3%,量比>=0.8"
600830,香溢融通,多元金融,1,8.42,-0.36,1.54,0.92,0.79,8.16,True,True,True,False,4,7,"振幅>3%,换手率>2%,量比>=0.8"
000564,供销大集,一般零售,1,1.56,2.63,5.26,3.03,1.63,1.46,True,False,True,False,6,7,价格2-50元
600785,新华百货,一般零售,1,12.42,6.61,13.73,25.13,1.71,9.59,True,True,True,False,7,7,
002470,金正大,农化制品,1,2.16,3.85,8.17,7.2,1.85,1.98,True,True,True,False,7,7,
002945,华林证券,证券Ⅱ,1,14.72,-0.2,3.19,0.75,1.54,14.46,True,False,True,True,5,7,"换手率>2%,非金融股"
002882,金龙羽,电网设备,1,22.03,-1.43,2.42,3.76,0.58,22.25,False,False,True,False,5,7,"振幅>3%,量比>=0.8"
600354,敦煌种业,种植业,1,8.21,10.05,10.05,20.6,1.12,6.55,True,True,True,False,6,7,涨幅-5%到10%
300189,神农种业,种植业,1,6.62,-0.15,13.27,40.66,1.22,5.45,True,True,True,False,7,7,
920855,浙江大农,专用设备,1,13.51,5.55,12.89,3.47,5.36,12.53,True,False,True,False,7,7,
605300,佳禾食品,饮料乳品,1,9.85,1.86,3.0,0.67,1.25,9.79,True,False,False,False,5,7,"振幅>3%,换手率>2%"
600121,郑州煤电,煤炭开采,2,4.46,4.45,5.62,9.26,1.15,4.05,True,True,False,False,7,7,
002041,登海种业,种植业,1,11.2,-0.27,9.44,11.49,1.28,9.54,True,True,True,False,7,7,
000721,西安饮食,酒店餐饮,1,6.95,1.02,2.47,3.6,0.82,6.64,True,True,True,False,6,7,振幅>3%
603123,翠微股份,多元金融,1,9.7,-2.12,3.13,4.38,0.45,9.45,True,False,True,False,6,7,量比>=0.8
002703,浙江世宝,汽车零部,1,16.58,-1.72,3.91,11.1,0.92,15.18,True,True,True,False,7,7,
603376,大明电子,汽车零部,1,25.77,-1.15,1.5,3.68,0.42,26.38,False,False,False,False,5,7,"振幅>3%,量比>=0.8"
002721,金一文化,饰品,1,3.06,2.34,6.69,8.78,1.13,2.79,True,True,True,False,7,7,
605068,明新旭腾,汽车零部,1,17.71,1.66,2.18,2.15,0.96,19.02,False,False,False,False,6,7,振幅>3%
003040,楚天龙,通信设备,1,18.5,-1.23,10.2,28.41,1.96,13.15,True,True,True,False,7,7,
000998,隆平高科,种植业,1,9.25,1.65,4.18,5.1,1.09,8.56,True,True,True,False,7,7,
603293,埃泰克,汽车零部,1,35.92,1.04,2.05,4.2,1.66,36.28,False,False,True,False,6,7,振幅>3%
002015,协鑫能科,电力,1,16.01,-4.25,5.38,7.77,1.0,15.56,True,False,True,False,7,7,
601566,九牧王,服装家纺,1,8.4,0.36,1.31,0.88,1.16,8.47,False,False,True,False,5,7,"振幅>3%,换手率>2%"
600792,云煤能源,焦炭Ⅱ,1,3.96,1.8,3.6,1.88,0.76,3.7,True,True,False,False,5,7,"换手率>2%,量比>=0.8"
000596,古井贡酒,白酒Ⅱ,1,93.9,1.88,3.88,0.94,1.17,93.72,True,False,False,False,5,7,"价格2-50元,换手率>2%"
603207,小方制药,化学制药,1,23.25,-1.27,1.78,4.0,0.61,23.45,False,False,False,False,5,7,"振幅>3%,量比>=0.8"
300927,江天化学,化学原料,1,31.44,2.04,12.33,18.31,1.1,24.68,True,True,True,False,7,7,
001330,博纳影业,影视院线,2,5.1,-0.2,2.54,3.39,0.68,5.07,True,False,False,False,5,7,"振幅>3%,量比>=0.8"
600967,内蒙一机,地面兵装,1,11.1,-1.16,1.69,1.29,1.61,11.36,False,False,True,False,5,7,"振幅>3%,换手率>2%"
002291,遥望科技,广告营销,1,5.2,0.39,1.54,2.28,1.26,5.42,False,False,False,False,6,7,振幅>3%
600318,新力金融,多元金融,1,6.88,-0.86,2.45,2.92,1.06,6.59,True,True,True,False,6,7,振幅>3%
002349,精华制药,中药Ⅱ,1,7.89,10.04,11.02,5.19,2.73,7.0,True,True,True,False,6,7,涨幅-5%到10%
920895,花溪科技,专用设备,1,21.12,29.97,36.55,38.17,5.9,13.35,True,True,True,False,6,7,涨幅-5%到10%
002107,沃华医药,中药Ⅱ,1,7.23,10.05,11.57,5.43,2.75,6.29,True,True,True,False,6,7,涨幅-5%到10%
000965,天保基建,房地产开,1,3.29,2.49,4.36,1.87,1.44,3.18,True,True,True,False,6,7,换手率>2%
002133,广宇集团,房地产开,1,2.82,1.44,3.24,1.52,0.97,2.7,True,True,True,False,6,7,换手率>2%
000011,深物业A,房地产开,2,9.15,9.98,10.7,2.3,1.96,8.2,True,True,True,False,7,7,
002375,亚厦股份,装修装饰,1,3.7,0.54,1.63,0.79,0.9,3.61,True,True,False,False,5,7,"振幅>3%,换手率>2%"
002886,沃特股份,塑料,3,26.4,10.0,0.0,2.03,0.15,20.44,True,True,True,False,5,7,"振幅>3%,量比>=0.8"
002098,浔兴股份,纺织制造,1,7.41,1.79,2.75,1.0,1.12,7.01,True,True,True,False,5,7,"振幅>3%,换手率>2%"
000712,锦龙股份,证券Ⅱ,4,11.8,9.97,0.0,1.69,0.41,9.37,True,True,True,False,4,7,"振幅>3%,换手率>2%,量比>=0.8"
002534,西子洁能,其他电源,1,15.02,-0.53,3.31,1.07,1.2,15.45,False,False,False,False,6,7,换手率>2%
002169,智光电气,电网设备,1,12.19,-0.81,2.12,1.58,0.85,12.61,False,False,False,False,5,7,"振幅>3%,换手率>2%"
600691,潞化科技,农化制品,2,2.94,10.11,10.86,3.41,2.22,2.54,True,True,True,False,6,7,涨幅-5%到10%
001221,悍高集团,家居用品,1,37.52,-1.91,1.8,3.0,0.82,39.97,False,False,True,False,6,7,振幅>3%
601882,海天精工,通用设备,1,19.92,-0.6,2.3,0.95,1.12,20.16,False,False,True,False,5,7,"振幅>3%,换手率>2%"
600110,诺德股份,电池,1,10.94,-5.69,4.4,12.39,0.86,10.31,True,True,True,False,6,7,涨幅-5%到10%
603270,金帝股份,通用设备,1,27.5,-1.96,4.74,5.41,1.27,27.56,False,False,False,False,7,7,
600227,赤天化,农化制品,2,4.58,10.1,11.06,28.89,1.35,3.66,True,True,True,False,6,7,涨幅-5%到10%
603269,海鸥股份,通用设备,3,22.18,10.02,5.95,3.59,0.69,16.73,True,True,False,False,5,7,"涨幅-5%到10%,量比>=0.8"
