code,name,limit_date,prev_close,prev_pct,amplitude,turnover,volume_ratio,prev_amount,ma20,above_ma20,is_finance
000635,英 力 特,20260901,6.58,1.86,2.94,1.34,1.13,32084758.0,6.4,True,False
000892,欢瑞世纪,20260901,3.91,3.17,7.65,9.3,2.16,257764501.0,3.95,False,False
002084,海鸥住工,20260901,5.8,10.06,0.0,1.04,0.51,39002059.0,3.8,True,False
002679,福建金森,20260901,10.67,10.0,10.62,5.52,3.2,136470109.0,9.18,True,False
003005,竞业达,20260901,15.03,10.03,10.18,4.54,2.77,90336480.0,13.8,True,False
603721,中广天择,20260901,17.36,-0.63,2.18,1.99,0.77,45016591.0,18.0,False,False
600892,大晟文化,20260901,4.02,0.75,2.76,4.57,0.89,101940525.0,3.91,True,False
300413,芒果超媒,20260901,14.15,-0.21,1.06,0.94,0.67,136502504.0,15.36,False,False
600540,新赛股份,20260901,5.05,10.02,0.0,0.89,0.17,26090416.0,4.08,True,False
002855,捷荣技术,20260901,14.64,9.99,0.0,2.08,1.83,75031464.0,10.54,True,False
002295,精艺股份,20260901,9.85,-3.43,3.82,8.89,2.31,216848163.0,9.01,True,False
603980,吉华集团,20260901,7.1,4.11,5.57,6.61,1.89,312180851.0,6.85,True,False
603533,掌阅科技,20260901,20.54,-0.82,3.38,4.3,1.65,391579023.0,21.83,False,False
605577,龙版传媒,20260901,9.65,0.84,2.4,1.04,0.68,44792344.0,9.82,False,False
600551,时代出版,20260901,7.5,9.97,4.84,2.73,4.69,138324673.0,6.96,True,False
603221,爱丽家居,20260901,29.1,1.57,7.26,7.54,0.99,527755240.0,22.97,True,False
002425,凯撒文化,20260901,3.18,0.32,2.21,2.91,0.93,85028331.0,3.24,False,False
000505,京粮控股,20260901,7.34,1.8,6.93,14.42,1.14,696199500.0,6.35,True,False
601086,国芳集团,20260901,8.34,10.03,8.18,2.7,2.55,147100140.0,7.85,True,False
600371,万向德农,20260901,11.54,10.01,0.0,1.68,0.14,56645752.0,8.0,True,False
002696,百洋股份,20260901,6.39,0.63,4.09,4.76,1.07,101784118.0,5.99,True,False
000560,我爱我家,20260901,2.64,10.0,6.25,10.62,1.12,642316328.0,2.28,True,False
002181,粤 传 媒,20260901,8.42,0.0,1.78,1.6,1.03,152915174.0,8.82,False,False
000019,深粮控股,20260901,7.32,2.09,6.28,8.53,1.16,257623588.0,6.46,True,False
002104,恒宝股份,20260901,11.66,-1.35,3.21,10.01,0.61,712294592.0,10.79,True,False
600693,东百集团,20260901,9.56,2.25,3.64,6.13,1.02,506173376.0,9.49,True,False
605365,立达信,20260901,14.51,1.75,6.66,1.92,1.27,140406404.0,13.96,True,False
600313,农发种业,20260901,7.5,3.73,7.88,16.53,1.31,1316055645.0,6.31,True,False
002172,澳洋健康,20260901,4.5,-4.66,8.05,23.87,0.88,829069447.0,4.03,True,False
600828,茂业商业,20260901,4.09,1.74,3.73,0.79,1.08,55318034.0,3.97,True,False
605188,国光连锁,20260901,13.37,10.04,10.53,2.32,2.77,150446212.0,12.7,True,False
600127,金健米业,20260901,11.77,9.18,10.11,45.07,1.14,3291559267.0,7.41,True,False
000711,京蓝科技,20260901,6.25,0.32,2.89,3.56,0.67,519393803.0,5.81,True,False
600830,香溢融通,20260901,8.42,-0.36,1.54,0.92,0.79,35008548.0,8.16,True,False
000564,供销大集,20260901,1.56,2.63,5.26,3.03,1.63,700752368.0,1.46,True,False
600785,新华百货,20260901,12.42,6.61,13.73,25.13,1.71,959912653.0,9.59,True,False
002470,金正大,20260901,2.16,3.85,8.17,7.2,1.85,498757079.0,1.98,True,False
002945,华林证券,20260901,14.72,-0.2,3.19,0.75,1.54,295854971.0,14.46,True,True
002882,金龙羽,20260901,22.03,-1.43,2.42,3.76,0.58,204914148.0,22.25,False,False
600354,敦煌种业,20260901,8.21,10.05,10.05,20.6,1.12,869767473.0,6.55,True,False
300189,神农种业,20260901,6.62,-0.15,13.27,40.66,1.22,2415861381.0,5.45,True,False
920855,浙江大农,20260901,13.51,5.55,12.89,3.47,5.36,31257693.0,12.53,True,False
605300,佳禾食品,20260901,9.85,1.86,3.0,0.67,1.25,30024737.0,9.79,True,False
600121,郑州煤电,20260901,4.46,4.45,5.62,9.26,1.15,496736363.0,4.05,True,False
002041,登海种业,20260901,11.2,-0.27,9.44,11.49,1.28,1144691820.0,9.54,True,False
000721,西安饮食,20260901,6.95,1.02,2.47,3.6,0.82,128022182.0,6.64,True,False
603123,翠微股份,20260901,9.7,-2.12,3.13,4.38,0.45,279340979.0,9.45,True,False
002703,浙江世宝,20260901,16.58,-1.72,3.91,11.1,0.92,1086989116.0,15.18,True,False
603376,大明电子,20260901,25.77,-1.15,1.5,3.68,0.42,30494284.0,26.38,False,False
002721,金一文化,20260901,3.06,2.34,6.69,8.78,1.13,705236135.0,2.79,True,False
605068,明新旭腾,20260901,17.71,1.66,2.18,2.15,0.96,61735386.0,19.02,False,False
003040,楚天龙,20260901,18.5,-1.23,10.2,28.41,1.96,2444580911.0,13.15,True,False
