code,name,industry,lianban,limit_up_date,prev_close,prev_pct,prev_amplitude,prev_turnover,prev_volume_ratio,limit_pct,limit_gap,pct_3d,pct_5d,up_days,ma_bullish,above_ma20,ma5,ma10,ma20
000635,英 力 特,化学原料,1,20260901,6.58,1.86,2.94,1.34,1.13,-0.3,-0.46,4.11,4.94,2,False,True,6.4,6.4,6.4
000892,欢瑞世纪,影视院线,2,20260901,3.91,3.17,7.65,9.3,2.16,9.97,3.32,4.55,4.55,1,False,False,3.78,3.81,3.95
002084,海鸥住工,家居用品,7,20260901,5.8,10.06,0.0,1.04,0.51,10.0,10.0,33.33,61.56,4,True,True,4.83,4.15,3.8
002679,福建金森,林业Ⅱ,3,20260901,10.67,10.0,10.62,5.52,3.2,10.03,10.03,11.26,15.6,4,True,True,9.77,9.48,9.18
003005,竞业达,IT服务Ⅱ,3,20260901,15.03,10.03,10.18,4.54,2.77,9.98,0.0,9.79,12.25,2,False,True,13.87,13.72,13.8
603721,中广天择,影视院线,2,20260901,17.36,-0.63,2.18,1.99,0.77,10.02,0.23,-3.5,-3.82,0,False,False,17.61,17.88,18.0
600892,大晟文化,游戏Ⅱ,2,20260901,4.02,0.75,2.76,4.57,0.89,9.95,0.25,3.08,4.96,1,False,True,3.95,3.88,3.91
300413,芒果超媒,数字媒体,2,20260901,14.15,-0.21,1.06,0.94,0.67,20.0,9.54,0.57,-5.85,0,False,False,14.1,14.62,15.36
600540,新赛股份,种植业,4,20260901,5.05,10.02,0.0,0.89,0.17,10.1,10.1,22.87,27.85,4,True,True,4.39,4.23,4.08
002855,捷荣技术,消费电子,6,20260901,14.64,9.99,0.0,2.08,1.83,9.97,2.46,33.09,44.24,4,True,True,12.21,11.13,10.54
002295,精艺股份,工业金属,1,20260901,9.85,-3.43,3.82,8.89,2.31,-2.03,-3.55,7.42,8.84,0,True,True,9.67,9.3,9.01
603980,吉华集团,化学制品,1,20260901,7.1,4.11,5.57,6.61,1.89,1.41,-0.14,8.4,7.25,3,False,True,6.79,6.82,6.85
603533,掌阅科技,数字媒体,2,20260901,20.54,-0.82,3.38,4.3,1.65,9.98,1.85,-1.72,-1.96,0,False,False,20.63,20.96,21.83
605577,龙版传媒,出版,2,20260901,9.65,0.84,2.4,1.04,0.68,10.05,-0.73,-3.4,-0.82,1,False,False,9.72,9.9,9.82
600551,时代出版,出版,3,20260901,7.5,9.97,4.84,2.73,4.69,10.0,-4.67,8.7,9.33,1,False,True,7.0,6.96,6.96
603221,爱丽家居,家居用品,1,20260901,29.1,1.57,7.26,7.54,0.99,-4.57,-1.96,8.1,10.81,2,False,True,27.7,27.76,22.97
002425,凯撒文化,游戏Ⅱ,1,20260901,3.18,0.32,2.21,2.91,0.93,2.83,-1.89,1.6,3.92,4,False,False,3.13,3.11,3.24
000505,京粮控股,农产品加,1,20260901,7.34,1.8,6.93,14.42,1.14,-4.09,0.14,5.16,8.9,4,True,True,7.04,6.99,6.35
601086,国芳集团,一般零售,3,20260901,8.34,10.03,8.18,2.7,2.55,9.95,9.95,9.59,11.05,2,False,True,7.69,7.71,7.85
