序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,date
1,000635,英 力 特,10.060976028442383,7.22,19721517,2648439071.52,2845644707.52,0.7446467876434326,178623435,092500,092500,0,1/1,1,化学原料,20260901
2,000892,欢瑞世纪,10.0,4.73,53749823,3362078342.92,4640037670.400001,1.5987082719802856,552462112,092500,092500,0,2/2,2,影视院线,20260901
3,002084,海鸥住工,10.031347274780273,7.02,601869904,4525333782.84,4535313456.96,13.30001163482666,272354560,092500,092500,0,7/7,7,家居用品,20260901
4,002679,福建金森,9.96592903137207,12.91,75097857,3043609960.0,3043609960.0,2.4673943519592285,362956516,092500,092500,0,3/3,3,林业Ⅱ,20260901
5,003005,竞业达,9.981851577758789,18.18,68010835,2439659191.5,4206646402.38,2.7877187728881836,323188223,092500,092500,0,3/3,3,IT服务Ⅱ,20260901
6,603721,中广天择,10.0,21.01,96585512,2731300000.0,2731300000.0,3.5362470149993896,114685186,092502,092502,0,2/2,2,影视院线,20260901
7,600892,大晟文化,9.954751014709473,4.86,35030880,2718292944.96,2718995973.1200004,1.2887088060379028,116414010,092504,092504,0,2/2,2,游戏Ⅱ,20260901
8,300413,芒果超媒,20.023557662963867,20.38,2435865920,20822245144.039997,38125290230.08,11.726884841918945,517036564,093000,102100,1,2/2,2,数字媒体,20260901
9,600540,新赛股份,10.071942329406738,6.12,395082784,3558026995.2000003,3558026995.2000003,11.113834381103516,239674671,093000,093000,0,4/4,4,种植业,20260901
10,002855,捷荣技术,10.0,17.71,427264304,4360684278.72,4364092568.22,9.843914985656738,91741342,093006,095815,5,6/6,6,消费电子,20260901
11,002295,精艺股份,10.051814079284668,10.62,222057243,2659533943.5,2661541920.0,8.430362701416016,105760332,093015,103224,3,1/1,1,工业金属,20260901
12,603980,吉华集团,10.0,7.92,363538128,5360520211.2,5360520211.2,6.82391881942749,131564030,093035,100317,1,1/1,1,化学制品,20260901
13,603533,掌阅科技,10.004426956176758,24.85,1163238112,10906586349.75,10906586275.2,10.704561233520508,94507035,093036,102418,3,2/2,2,数字媒体,20260901
14,605577,龙版传媒,9.98116683959961,11.68,291640688,5191111117.599999,5191111152.64,5.656306743621826,50580240,093037,094334,4,2/2,2,出版,20260901
15,600551,时代出版,10.060606002807617,9.08,954883456,6156741570.12,6156741506.56,15.654075622558594,60936606,093045,102833,9,3/3,3,出版,20260901
16,603221,爱丽家居,10.01080322265625,30.55,257233117,7401348500.0,7401348500.0,3.5106096267700195,90656972,093104,093131,1,23/13,1,家居用品,20260901
17,002425,凯撒文化,10.091742515563965,3.6,354280480,3312669322.8,3443994259.2000003,10.893528938293457,148126010,093112,110012,1,1/1,1,游戏Ⅱ,20260901
18,000505,京粮控股,9.943181991577148,7.74,302208848,5123688442.74,5626594981.440001,6.007576942443848,291816924,093127,093127,0,1/1,1,农产品加,20260901
19,601086,国芳集团,10.032715797424316,10.09,298126432,6719940000.0,6719940000.0,4.451624393463135,305805510,093139,093139,0,3/3,3,一般零售,20260901
20,600371,万向德农,10.007880210876465,13.96,615092384,4084388880.0000005,4084388880.0000005,15.273329734802246,143869554,093224,093427,2,11/8,6,种植业,20260901
21,002696,百洋股份,9.969788551330566,7.28,117285978,2433404923.04,2517090867.2000003,4.957208156585693,139861976,093236,093245,1,1/1,1,饲料,20260901
22,000560,我爱我家,10.0,3.19,2666821936,7473175099.61,7514047705.12,36.34589385986328,102553906,093300,112651,5,10/5,3,房地产服,20260901
23,002181,粤 传 媒,9.988518714904785,9.58,360085792,10868865456.32,11122937326.08,3.3815996646881104,383983644,093303,093303,0,1/1,1,出版,20260901
24,000019,深粮控股,10.0,7.92,182773655,3296374543.44,9128079164.16,5.678977966308594,191843752,093336,093415,1,1/1,1,农产品加,20260901
25,002104,恒宝股份,10.035842895507812,12.28,448402944,7461593812.879999,8698539964.8,6.127846717834473,296933175,093551,093551,0,1/1,1,通信设备,20260901
26,600693,东百集团,9.989258766174316,10.24,420783920,8898076487.68,8907225497.6,4.802452087402344,242688204,093559,093559,0,1/1,1,一般零售,20260901
27,605365,立达信,9.971909523010254,15.66,120000486,7861521638.16,7861521700.8,1.5570933818817139,109905012,093614,093656,1,1/1,1,照明设备,20260901
28,600313,农发种业,10.027854919433594,7.9,664892976,8549369437.700001,9174854347.2,8.01278305053711,443411737,093631,093631,0,1/1,1,种植业,20260901
29,002172,澳洋健康,9.976798057556152,4.74,635019776,3626767060.2000003,3629571424.32,17.80404281616211,102722436,093724,100300,3,1/1,1,医疗服务,20260901
30,600828,茂业商业,10.075567245483398,4.37,67448445,7566043990.97,7568763717.28,0.9137093424797058,136505253,093728,093728,0,1/1,1,一般零售,20260901
31,605188,国光连锁,9.985315322875977,14.98,427649392,7606042570.0,7606042510.08,5.747825622558594,59151526,093804,101743,3,3/2,1,一般零售,20260901
32,600127,金健米业,9.966776847839355,13.24,1699405472,8497209806.32,8497209779.84,20.805646896362305,363171028,093806,093806,0,12/7,1,农产品加,20260901
33,000711,京蓝科技,10.016977310180664,6.48,734941040,15273456292.800001,19138661959.68,4.927021026611328,295995390,093918,094000,1,3/2,1,环境治理,20260901
34,600830,香溢融通,10.011919021606445,9.23,125615419,4193398954.8100004,4193399000.96,3.066192388534546,114978543,094015,094421,1,1/1,1,多元金融,20260901
35,000564,供销大集,9.933774948120117,1.66,722011424,25057500011.5,29976385177.6,2.953463554382324,463377048,094018,094018,0,1/1,1,一般零售,20260901
36,600785,新华百货,9.991312026977539,12.66,689362368,3999088806.7200003,3999088806.7200003,17.700258255004883,153667320,094102,100444,2,8/4,1,一般零售,20260901
37,002470,金正大,9.952607154846191,2.32,372539264,7622929947.44,7623584366.08,5.044426441192627,359931296,094412,094412,0,1/1,1,农化制品,20260901
38,002945,华林证券,10.013717651367188,16.04,806861760,43308000000.0,43308000000.0,1.8986871242523193,339535586,094542,105539,2,1/1,1,证券Ⅱ,20260901
39,002882,金龙羽,9.995372772216797,23.77,429265696,5870953203.26,10290033000.0,7.424415111541748,101956661,094648,104439,2,1/1,1,电网设备,20260901
40,600354,敦煌种业,10.012063026428223,9.12,1087564048,4813554969.599999,4813554969.599999,23.53549575805664,130175304,094832,094953,1,3/2,1,种植业,20260901
41,300189,神农种业,20.031795501708984,7.55,2270055200,6691190701.2,7731200000.0,36.193359375,495542740,094957,094957,0,1/1,1,种植业,20260901
42,920855,浙江大农,29.984542846679688,16.82,102573764,1127560843.02,1257014661.06,9.402078628540039,20000880,095040,095828,1,1/1,1,专用设备,20260901
43,605300,佳禾食品,10.051281929016113,10.73,79877340,4875696945.81,4875696892.16,1.6771068572998047,41983292,095055,095119,1,1/1,1,饮料乳品,20260901
44,600121,郑州煤电,9.979633331298828,5.4,819127920,6579425005.200001,6579424972.8,13.063253402709961,161575587,095308,095308,0,2/2,2,煤炭开采,20260901
45,002041,登海种业,10.0,11.88,762883456,10454400000.0,10454400000.0,7.573088645935059,334640390,095354,095354,0,1/1,1,种植业,20260901
46,000721,西安饮食,10.0,7.59,395214016,3888814737.72,4356009567.36,10.340185165405273,89389676,095524,100615,4,1/1,1,酒店餐饮,20260901
