code,name,limit_up_date,industry,lianban,trend_score,trend_locked,activity_score,activity_locked,capital_score,capital_locked,total_locked,signal,avg_amplitude
002445,中南文化,20260825,通用设备,2,100,True,60,True,70,True,3,强烈买入,3.85
002870,香山股份,20260812,汽车零部,1,100,True,50,True,70,True,3,强烈买入,4.31
002366,融发核电,20260826,其他电源,1,5,False,20,False,5,False,0,观望,2.94
000620,盈新发展,20260824,房地产开,1,85,True,100,True,100,True,3,强烈买入,7.66
300922,天秦装备,20260825,地面兵装,1,40,False,35,False,15,False,0,观望,3.62
002072,凯瑞德,20260827,贸易Ⅱ,2,100,True,85,True,70,True,3,强烈买入,4.8
000593,德龙汇能,20260813,燃气Ⅱ,2,100,True,100,True,30,False,2,买入,8.03
002949,华阳国际,20260828,工程咨询,1,100,True,85,True,70,True,3,强烈买入,7.75
002774,快意电梯,20260814,专用设备,1,75,True,65,True,25,False,2,买入,8.03
605288,凯迪股份,20260827,自动化设,1,40,False,65,True,15,False,1,谨慎买入,5.32
002379,宏桥控股,20260812,工业金属,1,55,True,65,True,30,False,2,买入,6.8
002952,亚世光电,20260828,光学光电,1,45,False,35,False,45,True,1,谨慎买入,4.19
603690,至纯科技,20260812,半导体,1,80,True,80,True,15,False,2,买入,5.77
002886,沃特股份,20260831,塑料,3,100,True,85,True,30,False,2,买入,6.57
603696,安记食品,20260812,调味发酵,1,100,True,100,True,40,True,3,强烈买入,6.17
002668,TCL智家,20260817,白色家电,1,25,False,35,False,5,False,0,观望,3.44
603666,亿嘉和,20260820,自动化设,1,40,False,65,True,40,True,2,买入,5.73
603360,百傲化学,20260825,农化制品,1,25,False,50,True,15,False,1,谨慎买入,5.04
603076,乐惠国际,20260812,专用设备,1,100,True,20,False,15,False,1,谨慎买入,2.64
002052,同洲电子,20260824,其他电源,1,0,False,35,False,0,False,0,观望,3.54
603958,哈森股份,20260824,服装家纺,3,100,True,100,True,70,True,3,强烈买入,9.95
600508,上海能源,20260825,煤炭开采,2,100,True,85,True,70,True,3,强烈买入,3.89
002385,大北农,20260818,饲料,1,45,False,20,False,70,True,1,谨慎买入,2.11
000533,顺钠股份,20260826,电网设备,1,0,False,35,False,0,False,0,观望,4.41
002478,常宝股份,20260825,特钢Ⅱ,1,55,True,45,False,10,False,1,谨慎买入,4.14
603093,南华期货,20260827,多元金融,1,30,False,75,True,70,True,2,买入,4.31
002015,协鑫能科,20260901,电力,1,65,True,100,True,30,False,2,买入,6.81
605286,同力天启,20260824,专用设备,1,25,False,70,True,0,False,1,谨慎买入,7.08
600671,天目药业,20260831,中药Ⅱ,1,30,False,35,False,25,False,0,观望,3.72
002819,东方中科,20260818,通用设备,1,55,True,50,True,30,False,2,买入,3.04
000977,浪潮信息,20260831,计算机设,1,45,False,65,True,55,True,2,买入,4.42
603559,中通国脉,20260831,通信服务,2,70,True,80,True,100,True,3,强烈买入,5.16
301106,骏成科技,20260818,光学光电,1,85,True,20,False,45,True,2,买入,2.92
002190,成飞集成,20260827,汽车零部,1,40,False,35,False,40,True,1,谨慎买入,3.06
603618,杭电股份,20260827,电网设备,2,100,True,65,True,25,False,2,买入,7.99
603285,键邦股份,20260820,化学制品,1,85,True,90,True,45,True,3,强烈买入,8.22
002824,和胜股份,20260827,工业金属,1,55,True,80,True,40,True,3,强烈买入,7.08
002757,南兴股份,20260831,专用设备,1,5,False,35,False,10,False,0,观望,3.22
601233,桐昆股份,20260827,炼化及贸,1,75,True,65,True,25,False,2,买入,6.65
600479,千金药业,20260901,中药Ⅱ,1,100,True,100,True,70,True,3,强烈买入,6.2
601083,锦江航运,20260824,航运港口,1,100,True,30,False,40,True,2,买入,2.87
600645,中源协和,20260814,生物制品,1,100,True,60,True,60,True,3,强烈买入,3.96
000410,沈阳机床,20260812,通用设备,1,100,True,60,True,100,True,3,强烈买入,3.72
688485,九州一轨,20260814,轨交设备,1,100,True,90,True,25,False,2,买入,10.66
603289,泰瑞机器,20260812,专用设备,1,85,True,20,False,15,False,1,谨慎买入,2.63
688426,康为世纪,20260820,医疗器械,1,75,True,35,False,5,False,1,谨慎买入,3.47
002133,广宇集团,20260831,房地产开,1,85,True,35,False,5,False,1,谨慎买入,2.85
000852,石化机械,20260818,专用设备,1,45,False,20,False,0,False,0,观望,2.28
601212,白银有色,20260826,工业金属,1,100,True,90,True,70,True,3,强烈买入,6.86
605287,德才股份,20260831,装修装饰,1,30,False,35,False,55,True,1,谨慎买入,4.32
603519,立霸股份,20260820,家电零部,1,30,False,35,False,0,False,0,观望,4.62
002295,精艺股份,20260901,工业金属,1,100,True,100,True,100,True,3,强烈买入,6.46
600318,新力金融,20260901,多元金融,1,100,True,45,False,60,True,2,买入,2.92
002638,勤上股份,20260821,照明设备,1,70,True,90,True,40,True,3,强烈买入,6.53
301516,中远通,20260817,其他电源,1,65,True,35,False,0,False,1,谨慎买入,3.04
002580,圣阳股份,20260824,电池,1,25,False,50,True,5,False,1,谨慎买入,6.97
002146,荣盛发展,20260812,房地产开,1,85,True,20,False,55,True,2,买入,2.84
301127,武汉天源,20260817,环境治理,1,55,True,65,True,40,True,3,强烈买入,7.33
600127,金健米业,20260901,农产品加,1,100,True,100,True,30,False,2,买入,9.51
600683,京投发展,20260827,房地产开,1,55,True,90,True,15,False,2,买入,6.75
002989,中天精装,20260814,装修装饰,1,85,True,50,True,0,False,2,买入,4.47
002375,亚厦股份,20260831,装修装饰,1,85,True,20,False,0,False,1,谨慎买入,2.2
000887,中鼎股份,20260813,汽车零部,2,100,True,80,True,70,True,3,强烈买入,5.17
603025,大豪科技,20260814,自动化设,1,55,True,35,False,70,True,2,买入,3.02
600359,新农开发,20260827,种植业,1,85,True,70,True,40,True,3,强烈买入,4.63
601566,九牧王,20260901,服装家纺,1,45,False,20,False,40,True,1,谨慎买入,2.2
002396,星网锐捷,20260831,通信设备,3,100,True,80,True,55,True,3,强烈买入,7.36
002837,英维克,20260825,专用设备,1,40,False,50,True,0,False,1,谨慎买入,5.39
600969,郴电国际,20260827,电力,2,100,True,65,True,85,True,3,强烈买入,4.82
002084,海鸥住工,20260901,家居用品,7,100,True,30,False,40,True,2,买入,0.0
301130,西点药业,20260819,化学制药,1,100,True,100,True,70,True,3,强烈买入,9.56
002534,西子洁能,20260831,其他电源,1,20,False,35,False,0,False,0,观望,4.2
002907,华森制药,20260825,中药Ⅱ,1,70,True,70,True,0,False,2,买入,10.56
300197,节能铁汉,20260812,基础建设,1,85,True,35,False,15,False,1,谨慎买入,3.62
603758,秦安股份,20260825,汽车零部,1,25,False,100,True,45,True,2,买入,8.03
